FECHA_VACUNACION,ASTRAZENECA,PFIZER,SINOPHARM
2021-09-26,1091823,15208424,10333371
2021-09-27,1111726,15260493,10466336
2021-09-28,1125640,15337245,10612488
2021-09-29,1142992,15437159,10802809
2021-09-30,1153878,15540473,11000414
2021-10-01,1166581,15626040,11184877
2021-10-02,1194208,15851134,11500912
2021-10-03,1215433,16023345,11785516
2021-10-04,1231551,16123289,11932297
2021-10-05,1243431,16244559,12091583
2021-10-06,1258726,16342333,12256002
2021-10-07,1269928,16423440,12431230
2021-10-08,1278702,16498562,12554120
2021-10-09,1291180,16621052,12790934
2021-10-10,1298054,16684166,12959370
2021-10-11,1308728,16723181,13087475
2021-10-12,1357024,16773676,13226907
2021-10-13,1402687,16818167,13362366
2021-10-14,1467003,16877557,13462233
2021-10-15,1533699,16945412,13565729
2021-10-16,1644156,17039678,13705666
2021-10-17,1726143,17125226,13823611
2021-10-18,1765326,17215301,13898019
2021-10-19,1798515,17304304,13978040
2021-10-20,1832930,17378986,14047232
2021-10-21,1867022,17442099,14114552
2021-10-22,1894590,17499339,14178998
2021-10-23,1955990,17582785,14289697
2021-10-24,1995452,17642933,14389628
2021-10-25,2017577,17684743,14446552
2021-10-26,2041680,17721233,14501761
2021-10-27,2065901,17754853,14555048
2021-10-28,2099911,17792850,14606429
2021-10-29,2136781,17837619,14649085
2021-10-30,2174324,18047983,14701360
2021-10-31,2206729,18224016,14743795
2021-11-01,2216158,18294127,14762549
2021-11-02,2228840,18382128,14790169
2021-11-03,2248740,18489229,14824274
2021-11-04,2277713,18657476,14860519
2021-11-05,2305100,18871444,14901454
2021-11-06,2344299,19155907,14981289
2021-11-07,2375256,19351166,15052937
2021-11-08,2400983,19462222,15105779
2021-11-09,2441903,19586040,15145487
2021-11-10,2485444,19690135,15183676
2021-11-11,2530477,19779185,15217172
2021-11-12,2566827,19836502,15243633
2021-11-13,2608964,19896080,15267699
