FECHA,18-59,60-69,70-79,80+
2020-10-17,128,74,95,155
2020-10-18,110,66,86,159
2020-10-19,108,85,99,157
2020-10-20,113,103,94,152
2020-10-21,100,58,102,173
2020-10-22,116,66,85,147
2020-10-23,106,76,102,182
2020-10-24,109,61,94,170
2020-10-25,108,62,91,168
2020-10-26,105,69,95,167
2020-10-27,102,58,75,141
2020-10-28,83,63,92,152
2020-10-29,105,75,82,158
2020-10-30,112,71,87,162
2020-10-31,96,64,92,160
2020-11-01,218,154,186,350
2020-11-02,104,69,99,155
2020-11-03,133,74,102,156
2020-11-04,114,76,89,181
2020-11-05,108,58,90,154
2020-11-06,116,69,88,155
2020-11-07,102,49,83,159
2020-11-08,116,68,92,131
2020-11-09,82,75,87,154
2020-11-10,121,86,91,159
2020-11-11,96,77,100,145
2020-11-12,108,61,81,150
2020-11-13,123,86,79,171
2020-11-14,103,72,93,160
2020-11-15,97,75,82,141
2020-11-16,102,63,88,157
2020-11-17,91,73,95,176
2020-11-18,103,64,99,143
2020-11-19,101,52,94,139
2020-11-20,108,67,95,169
2020-11-21,106,63,92,146
2020-11-22,100,52,93,164
2020-11-23,106,61,91,162
2020-11-24,99,82,92,157
2020-11-25,89,58,102,137
2020-11-26,89,53,104,136
2020-11-27,101,64,87,148
2020-11-28,95,69,84,139
2020-11-29,128,70,88,148
2020-11-30,100,83,100,162
2020-12-01,206,136,212,308
2020-12-02,92,72,99,155
2020-12-03,93,74,84,166
2020-12-04,108,55,85,154
2020-12-05,87,71,79,151
2020-12-06,93,66,64,148
2020-12-07,104,82,104,175
2020-12-08,90,63,90,158
2020-12-09,92,70,89,160
2020-12-10,93,86,95,134
2020-12-11,105,77,79,157
2020-12-12,101,82,93,160
2020-12-13,86,80,98,171
2020-12-14,102,79,116,158
2020-12-15,100,77,93,149
2020-12-16,89,84,102,163
2020-12-17,93,91,88,165
2020-12-18,121,87,103,147
2020-12-19,130,81,106,155
2020-12-20,114,72,119,167
2020-12-21,116,68,110,162
2020-12-22,99,80,107,138
2020-12-23,131,61,99,145
2020-12-24,113,77,91,174
2020-12-25,136,84,110,181
2020-12-26,132,87,115,165
2020-12-27,117,79,104,178
2020-12-28,158,99,86,159
2020-12-29,98,75,114,171
2020-12-30,136,88,119,163
2020-12-31,96,94,122,176
2021-01-01,254,180,242,356
2021-01-02,144,77,115,192
2021-01-03,129,88,121,162
2021-01-04,140,91,152,165
2021-01-05,109,104,116,181
2021-01-06,126,99,119,155
2021-01-07,135,98,121,195
2021-01-08,145,122,124,176
2021-01-09,138,103,135,189
2021-01-10,147,104,153,188
2021-01-11,149,121,161,184
2021-01-12,155,119,137,179
2021-01-13,125,118,166,219
2021-01-14,140,115,136,198
2021-01-15,143,130,147,202
2021-01-16,177,121,162,232
2021-01-17,164,153,184,219
2021-01-18,186,137,196,219
2021-01-19,195,133,198,240
2021-01-20,174,160,172,241
2021-01-21,203,176,187,234
2021-01-22,207,159,184,223
2021-01-23,227,203,175,252
2021-01-24,200,206,178,259
2021-01-25,257,183,218,317
2021-01-26,208,209,188,272
2021-01-27,239,198,199,268
2021-01-28,235,191,233,266
2021-01-29,247,175,214,284
2021-01-30,270,225,201,264
2021-01-31,289,218,222,260
2021-02-01,266,214,254,285
2021-02-02,256,194,214,258
2021-02-03,237,185,227,266
2021-02-04,286,246,212,276
2021-02-05,279,203,243,276
2021-02-06,268,186,244,282
2021-02-07,295,226,233,260
2021-02-08,268,226,292,269
2021-02-09,284,247,254,268
2021-02-10,299,234,230,283
2021-02-11,315,244,257,298
2021-02-12,308,244,284,301
2021-02-13,318,242,242,295
2021-02-14,274,243,240,281
2021-02-15,283,228,250,296
2021-02-16,320,257,241,313
2021-02-17,302,224,271,307
2021-02-18,301,207,255,288
2021-02-19,289,239,271,293
2021-02-20,286,223,237,289
2021-02-21,321,223,209,328
2021-02-22,300,233,238,285
2021-02-23,296,244,209,263
2021-02-24,297,243,243,272
2021-02-25,294,222,225,266
2021-02-26,276,245,248,272
2021-02-27,319,223,238,273
2021-02-28,315,209,256,256
2021-03-01,292,243,245,330
2021-03-02,292,218,269,293
2021-03-03,331,215,255,324
2021-03-04,297,192,247,310
2021-03-05,275,242,246,272
2021-03-06,276,220,232,274
2021-03-07,246,206,209,289
2021-03-08,302,233,241,294
2021-03-09,280,230,248,300
2021-03-10,261,224,209,293
2021-03-11,263,222,230,289
2021-03-12,299,211,224,287
2021-03-13,323,197,214,298
2021-03-14,296,228,236,282
2021-03-15,287,237,257,294
2021-03-16,293,222,243,279
2021-03-17,280,229,253,276
2021-03-18,306,230,223,296
2021-03-19,315,202,215,285
2021-03-20,299,200,204,308
2021-03-21,275,228,235,279
2021-03-22,304,221,231,281
2021-03-23,275,255,248,253
2021-03-24,316,202,231,301
2021-03-25,303,184,248,306
2021-03-26,303,230,242,260
2021-03-27,327,245,254,290
2021-03-28,339,239,239,286
2021-03-29,343,197,246,285
