FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2021-08-15,800819,8,8,12347586,3503001
2021-08-16,805784,12,8,12380655,3545641
2021-08-17,812042,13,8,12405381,3615941
2021-08-18,819120,15,8,12424536,3679744
2021-08-19,824444,17,8,12445397,3756071
2021-08-20,832098,28,8,12481568,3863849
2021-08-21,840941,28,8,12603414,4050912
2021-08-22,850720,28,8,12686496,4190879
2021-08-23,858724,39,8,12720589,4230237
2021-08-24,867173,46,8,12742628,4277500
2021-08-25,871497,57,8,12774380,4333462
2021-08-26,874499,62,8,12801815,4410496
2021-08-27,877115,66,8,12864175,4519994
2021-08-28,880765,68,8,12997105,4848188
2021-08-29,882927,68,8,13111106,5142077
2021-08-30,885365,68,8,13115971,5152975
2021-08-31,888495,74,8,13140696,5245753
2021-09-01,891128,84,8,13175475,5365365
2021-09-02,892986,91,8,13231206,5494639
2021-09-03,894480,100,8,13306898,5632786
2021-09-04,896000,107,8,13398239,5906053
2021-09-05,897618,107,8,13444568,6130626
2021-09-06,899291,117,8,13477410,6238005
2021-09-07,905716,117,8,13524310,6398755
2021-09-08,912489,117,8,13616166,6654649
2021-09-09,914557,117,8,13733388,6886374
2021-09-10,917838,117,8,13880304,7151680
2021-09-11,920592,117,8,14125319,7507745
2021-09-12,922836,117,8,14311506,7811575
2021-09-13,924118,117,8,14380274,7952539
2021-09-14,925222,117,9,14517082,8117438
2021-09-15,927154,117,9,14588213,8298616
2021-09-16,937557,117,9,14701143,8513637
2021-09-17,952016,117,9,14797739,8710994
2021-09-18,966632,117,9,14915503,9070665
2021-09-19,977035,117,9,14991244,9289653
2021-09-20,990862,117,9,15017080,9382275
2021-09-21,1009066,117,9,15060952,9522134
2021-09-22,1027505,117,9,15094967,9654737
2021-09-23,1042396,117,9,15123006,9782821
2021-09-24,1057439,117,9,15177944,9911099
2021-09-25,1082549,117,9,15296108,10181132
2021-09-26,1101183,117,9,15348615,10438863
2021-09-27,1121230,117,9,15401429,10573151
2021-09-28,1135254,117,9,15478976,10721127
2021-09-29,1152942,117,9,15580638,10914649
2021-09-30,1163981,117,11,15685768,11114631
2021-10-01,1176937,117,11,15775619,11303027
2021-10-02,1204822,117,11,16005425,11624001
2021-10-03,1226587,117,11,16180836,11913482
2021-10-04,1242968,117,11,16282437,12062931
2021-10-05,1254871,117,11,16405992,12225448
2021-10-06,1270484,117,11,16506582,12392323
2021-10-07,1282032,117,11,16590145,12569963
2021-10-08,1290963,117,11,16667979,12695560
2021-10-09,1303684,117,11,16793579,12936231
2021-10-10,1310826,117,11,16858694,13108041
2021-10-11,1321646,117,11,16898654,13238517
2021-10-12,1370431,117,11,16950299,13380840
2021-10-13,1416626,117,11,16995939,13518529
2021-10-14,1481435,117,11,17056383,13620059
2021-10-15,1549525,117,12,17126325,13725779
2021-10-16,1661495,117,13,17222256,13868080
2021-10-17,1745001,117,13,17308709,13988052
2021-10-18,1784600,117,13,17399861,14063906
2021-10-19,1819042,117,13,17490222,14145880
2021-10-20,1854401,117,13,17566459,14216839
2021-10-21,1889063,117,13,17630611,14285778
2021-10-22,1917217,117,13,17691191,14352671
2021-10-23,1979653,117,13,17776998,14465842
2021-10-24,2019794,117,13,17839279,14568220
2021-10-25,2042412,117,13,17882299,14627057
2021-10-26,2066866,117,13,17920071,14684152
2021-10-27,2091702,117,15,17955183,14738891
2021-10-28,2127017,117,16,17994759,14793117
2021-10-29,2165520,117,17,18041736,14838377
2021-10-30,2205114,117,17,18258172,14893395
2021-10-31,2238244,117,17,18437571,14937149
2021-11-01,2248234,117,18,18512599,14957967
2021-11-02,2261554,117,18,18606602,14988356
2021-11-03,2282287,117,18,18719971,15025417
2021-11-04,2312700,117,18,18894294,15064305
2021-11-05,2341107,117,18,19122558,15108317
2021-11-06,2382212,117,19,19446703,15193007
2021-11-07,2415010,117,20,19660305,15269440
2021-11-08,2442116,117,20,19785488,15325513
2021-11-09,2486561,117,20,19923269,15368655
2021-11-10,2533797,117,20,20049548,15412493
2021-11-11,2584624,117,22,20158700,15452609
2021-11-12,2633640,117,22,20247666,15491288
2021-11-13,2709818,117,23,20369064,15547113
2021-11-14,2776876,117,23,20466922,15604984
2021-11-15,2827109,117,23,20544648,15652783
2021-11-16,2879012,117,24,20627053,15715789
2021-11-17,2935703,117,24,20706658,15776020
2021-11-18,2987653,117,24,20786252,15838913
2021-11-19,3033363,117,24,20867849,15906469
2021-11-20,3101859,117,29,21055824,15996851
2021-11-21,3154655,117,29,21241248,16075699
2021-11-22,3184505,117,30,21362597,16132205
2021-11-23,3214928,117,30,21494590,16190681
2021-11-24,3242778,117,30,21623581,16245740
2021-11-25,3270080,117,31,21792416,16298049
2021-11-26,3295754,117,33,22031618,16348145
2021-11-27,3328120,117,33,22399393,16413610
2021-11-28,3357487,117,36,22682118,16474756
2021-11-29,3376981,117,37,22903932,16519168
2021-11-30,3395576,117,43,23119857,16562673
2021-12-01,3411738,117,44,23331333,16610485
2021-12-02,3433373,117,45,23549818,16666034
2021-12-03,3455857,117,46,23754556,16723073
2021-12-04,3486346,117,51,23990911,16794860
2021-12-05,3509710,117,51,24160090,16858202
2021-12-06,3530278,117,51,24314484,16914437
2021-12-07,3549398,117,51,24469628,16977745
2021-12-08,3564467,117,51,24575803,17028891
2021-12-09,3587332,117,51,24732655,17106353
2021-12-10,3620787,117,56,24918920,17234628
2021-12-11,3663386,117,57,25128972,17393319
2021-12-12,3696785,117,58,25290950,17520581
2021-12-13,3729435,117,58,25445110,17644207
2021-12-14,3766888,117,58,25604633,17772853
2021-12-15,3804263,117,59,25749164,17890008
2021-12-16,3835220,117,60,25871773,17978051
2021-12-17,3864101,117,62,25994394,18063534
2021-12-18,3891465,117,62,26117185,18145846
2021-12-19,3913171,117,63,26215075,18208745
2021-12-20,3936248,117,64,26394802,18274428
2021-12-21,3959529,117,66,26688922,18336429
2021-12-22,3979025,117,66,26952194,18392422
2021-12-23,3994225,117,69,27138140,18440444
2021-12-24,3998404,117,69,27195234,18460179
2021-12-25,3999314,117,69,27224346,18464911
2021-12-26,4006210,117,72,27376381,18493755
2021-12-27,4021688,117,74,27619319,18551661
2021-12-28,4037853,117,82,27872614,18611512
