DEPARTAMENTO,DISTRITO,POBLACION
HUANUCO,CODO DEL POZUZO,6578
HUANUCO,HONORIA,5639
HUANUCO,TOURNAVISTA,5186
HUANUCO,YUYAPICHIS,5355
HUANUCO,JESUS,4331
HUANUCO,BAÑOS,2763
HUANUCO,JIVIA,1855
HUANUCO,QUEROPALCA,753
HUANUCO,RONDOS,4893
HUANUCO,SAN FRANCISCO DE ASIS,2290
HUANUCO,SAN MIGUEL DE CAURI,4883
HUANUCO,CHAVINILLO,6261
HUANUCO,CAHUAC,2262
HUANUCO,CHACABAMBA,2498
HUANUCO,APARICIO POMARES,6196
HUANUCO,JACAS CHICO,2347
HUANUCO,OBAS,5395
HUANUCO,PAMPAMARCA,1831
HUANUCO,LA MORADA,2502
JUNIN,HUANCAYO,122724
JUNIN,CARHUACALLANGA,411
JUNIN,CHACAPAMPA,1023
JUNIN,CHICCHE,996
JUNIN,CHILCA,84883
JUNIN,CHONGOS ALTO,1376
JUNIN,CHUPURO,2260
JUNIN,COLCA,1156
JUNIN,CULLHUAS,2430
JUNIN,EL TAMBO,154888
JUNIN,HUACRAPUQUIO,1395
JUNIN,HUALHUAS,4762
JUNIN,HUANCAN,15757
JUNIN,HUASICANCHA,800
JUNIN,HUAYUCACHI,9340
JUNIN,INGENIO,2402
JUNIN,PARIAHUANCA,6392
JUNIN,PILCOMAYO,17675
JUNIN,PUCARA,5430
JUNIN,QUICHUAY,1825
JUNIN,QUILCAS,4235
JUNIN,SAN AGUSTIN,12972
JUNIN,SAN JERONIMO DE TUNAN,10900
JUNIN,SAÑO (San Pedro de Saño),4797
JUNIN,SANTO DOMINGO DE ACOBAMBA,5770
JUNIN,SAPALLANGA,17950
JUNIN,SICAYA,9042
JUNIN,VIQUES,2257
JUNIN,CHANCHAMAYO,28248
JUNIN,PERENE,46309
JUNIN,PICHANAQUI (Bajo Pichanaqui),42545
JUNIN,SAN LUIS DE SHUARO,5555
JUNIN,SAN RAMON,23629
JUNIN,VITOC (Pucará),2255
JUNIN,CONCEPCION,14656
JUNIN,ACO,1653
JUNIN,ANDAMARCA,4735
JUNIN,CHAMBARA,2586
JUNIN,COCHAS,1869
JUNIN,COMAS,6157
JUNIN,HEROINAS TOLEDO (San Antonio de Ocopa),1234
JUNIN,MANZANARES (San Miguel),1469
JUNIN,MARISCAL CASTILLA (Mucllo),1741
JUNIN,MATAHUASI,4755
JUNIN,MITO,1287
JUNIN,NUEVE DE JULIO (Santo Domingo del Prado),1724
JUNIN,ORCOTUNA,4148
JUNIN,SAN JOSE DE QUERO,5633
JUNIN,SANTA ROSA DE OCOPA (Santa Rosa),1929
JUNIN,JUNIN,9738
JUNIN,CARHUAMAYO,4666
JUNIN,ONDORES,1593
JUNIN,ULCUMAYO,4603
JUNIN,SATIPO,34910
JUNIN,COVIRIALI,4127
JUNIN,LLAYLLA,3721
JUNIN,MAZAMARI,20944
JUNIN,PAMPA HERMOSA (Mariposa),3968
JUNIN,PANGOA (San Martín de Pangoa),45819
JUNIN,RIO NEGRO,20008
JUNIN,RIO TAMBO (Puerto Ocopa),23808
JUNIN,JAUJA,14841
JUNIN,ACOLLA,6626
JUNIN,APATA,4585
JUNIN,ATAURA,1254
JUNIN,CANCHAYLLO,4452
JUNIN,CURICACA (El Rosario),1277
JUNIN,EL MANTARO (Pucucho),2434
JUNIN,HUAMALI,1614
JUNIN,HUARIPAMPA,990
JUNIN,HUERTAS,2015
JUNIN,JANJAILLO,757
JUNIN,JULCAN,968
JUNIN,LEONOR ORDOÑEZ (Huancani),1506
JUNIN,LLOCLLAPAMPA,1302
JUNIN,MARCO,1629
JUNIN,MASMA,1881
JUNIN,MASMA CHICCHE,793
JUNIN,MOLINOS,1713
JUNIN,MONOBAMBA,1328
JUNIN,MUQUI,941
JUNIN,MUQUIYAUYO,2163
JUNIN,PACA,1022
JUNIN,PACCHA,1768
JUNIN,PANCAN,1459
JUNIN,PARCO,1359
JUNIN,POMACANCHA,1569
JUNIN,RICRAN,1398
JUNIN,SAN LORENZO,2155
JUNIN,SAN PEDRO DE CHUNAN,688
JUNIN,SAUSA,2469
JUNIN,SINCOS,3552
JUNIN,TUNAN MARCA (Concho),1101
JUNIN,YAULI,1264
JUNIN,YAUYOS,5576
JUNIN,TARMA,44542
JUNIN,ACOBAMBA,8813
JUNIN,HUARICOLCA,2043
JUNIN,HUASAHUASI,9151
JUNIN,LA UNION (Leticia),2911
JUNIN,PALCA,5892
JUNIN,PALCAMAYO,3072
JUNIN,SAN PEDRO DE CAJAS,3654
JUNIN,TAPO,3795
JUNIN,LA OROYA,14786
JUNIN,CHACAPALPA,826
JUNIN,HUAY-HUAY,1167
JUNIN,MARCAPOMACOCHA,869
JUNIN,MOROCOCHA,3964
JUNIN,PACCHA,1502
JUNIN,SANTA BARBARA DE CARHUACAYAN,724
JUNIN,SANTA ROSA DE SACCO,7239
JUNIN,SUITUCANCHA,870
JUNIN,YAULI,3058
JUNIN,CHUPACA,24555
JUNIN,AHUAC,6765
JUNIN,CHONGOS BAJO,4475
JUNIN,HUACHAC,2954
JUNIN,HUAMANCACA CHICO,5704
JUNIN,SAN JUAN DE YSCOS (Yscos),2516
JUNIN,SAN JUAN DE JARPA (Jarpa),3187
JUNIN,TRES DE DICIEMBRE,2573
JUNIN,YANACANCHA,2950
LAMBAYEQUE,CHICLAYO,282222
LAMBAYEQUE,CHONGOYAPE,16708
LAMBAYEQUE,ETEN,10631
LAMBAYEQUE,ETEN PUERTO,2344
LAMBAYEQUE,JOSE LEONARDO ORTIZ,159033
LAMBAYEQUE,LA VICTORIA,79450
LAMBAYEQUE,LAGUNAS (Mocupe),8467
LAMBAYEQUE,MONSEFU,32688
LAMBAYEQUE,NUEVA ARICA,2326
LAMBAYEQUE,OYOTUN,6977
LAMBAYEQUE,PICSI,7811
LAMBAYEQUE,PIMENTEL,26343
LAMBAYEQUE,REQUE,13448
LAMBAYEQUE,SANTA ROSA,10929
LAMBAYEQUE,SAÑA,8312
LAMBAYEQUE,SANTA ROSA,10929
LAMBAYEQUE,CAYALTI,14076
LAMBAYEQUE,PATAPO,19147
LAMBAYEQUE,POMALCA,22640
LAMBAYEQUE,PUCALA,7248
LAMBAYEQUE,TUMAN,25397
LAMBAYEQUE,FERREÑAFE,32583
LAMBAYEQUE,CAÑARIS,12804
LAMBAYEQUE,INCAHUASI,14191
LAMBAYEQUE,MANUEL ATONIO MESONES MURO,3787
LAMBAYEQUE,PITIPO,17992
LAMBAYEQUE,PUEBLO NUEVO,12131
LAMBAYEQUE,LAMBAYEQUE,64401
LAMBAYEQUE,CHOCHOPE,1698
LAMBAYEQUE,ILLIMO,9074
LAMBAYEQUE,JAYANCA,15358
LAMBAYEQUE,MOCHUMI,17690
LAMBAYEQUE,MORROPE,41204
LAMBAYEQUE,MOTUPE,25146
LAMBAYEQUE,OLMOS,40244
LAMBAYEQUE,PACORA,6870
LAMBAYEQUE,SALAS,13549
LAMBAYEQUE,SAN JOSE,13329
LAMBAYEQUE,TUCUME,21808
LORETO,IQUITOS,141038
LORETO,ALTO NANAY (Sta. María de Nanay),3765
LORETO,FERNANDO LORES (Tamshiyacu),14773
LORETO,INDIANA,11507
LORETO,LAS AMAZONAS (Fco. de Orellana),9773
LORETO,MAZAN,13713
LORETO,NAPO (Sta. Clotilde),13664
LORETO,PUNCHANA,77177
LORETO,PUTUMAYO (Puca Urco),3
LORETO,TORRES CAUSANA (Pantoja),5370
LORETO,BELEN,61068
LORETO,SAN JUAN BAUTISTA,101097
LORETO,YURIMAGUAS,71905
LORETO,BALSAPUERTO,15494
LORETO,JEBEROS,4216
LORETO,LAGUNAS,12105
LORETO,SANTA CRUZ,4336
LORETO,TENIENTE CESAR LOPEZ ROJAS (Shucushuyacu),5896
LORETO,BARRANCA,13763
LORETO,CAHUAPANAS,7574
LORETO,MANSERICHE (Borja),8966
LORETO,MORONA (Pto. América),7841
LORETO,PASTAZA,7917
LORETO,ANDOAS,10472
LORETO,NAUTA,29082
LORETO,PARINARI 2/,6182
LORETO,TIGRE (Intutu),7852
LORETO,TROMPETEROS (Villa Trompeteros),8314
LORETO,URARINAS (Concordia) 3/,12359
LORETO,RAMON CASTILLA (Caballococha),20549
LORETO,PEBAS,12884
LORETO,YAVARI (Amelia),13813
LORETO,SAN PABLO,14091
LORETO,REQUENA,24134
